countryname,coderyear,country,eumember,party,partyname,parfam,testresult,pervote,voteest,presvote,absseat,totseats,peruncod,per101,per102,per103,per104,per105,per106,per107,per108,per109,per110,per201,per202,per203,per204,per301,per302,per303,per304,per305,per401,per402,per403,per404,per405,per406,per407,per408,per409,per410,per411,per412,per413,per414,per415,per416,per501,per502,per503,per504,per505,per506,per507,per601,per602,per603,per604,per605,per606,per607,per608,per701,per702,per703,per704,per705,per706,per1011,per1012,per1013,per1014,per1015,per1016,per1021,per1022,per1023,per1024,per1025,per1026,per1031,per1032,per1033,per2021,per2022,per2023,per2031,per2032,per2033,per2041,per3011,per3051,per3052,per3053,per3054,per3055,per4011,per4012,per4013,per4014,per4121,per4122,per4123,per4124,per4131,per4132,per5021,per5031,per5041,per5061,per6011,per6012,per6013,per6014,per6061,per6071,per6072,per6081,per7051,per7052,per7061,per7062,per103_1,per103_2,per201_1,per201_2,per202_1,per202_2,per202_3,per202_4,per305_1,per305_2,per305_3,per305_4,per305_5,per305_6,per416_1,per416_2,per601_1,per601_2,per602_1,per602_2,per605_1,per605_2,per606_1,per606_2,per607_1,per607_2,per607_3,per608_1,per608_2,per608_3,per703_1,per703_2,rile,planeco,markeco,welfare,intpeace,id_perm,iso2c,iso3c,SL.UEM.TOTL.ZS,SI.POV.GINI,NY.GDP.PCAP.PP.KD,SM.POP.NETM,E035,E036,E037,E038,G034,G035,G036,G038,G040,G041,G043
Denmark,1983,13,0,13220,Danish Communist Party,20,,12.455,0.0,,18.0,148.0,26.6,3.1,0.0,0.0,2.3,0.0,1.6,2.3,0.0,0.0,0.0,0.8,10.2,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,0.0,0.0,0.0,1.6,0.0,3.9,0.0,0.8,1.6,0.0,0.0,0.0,0.0,0.0,8.6,7.0,0.0,0.8,0.0,1.6,0.0,0.0,0.0,3.9,0.8,0.0,0.0,6.3,0.0,2.3,3.1,0.0,7.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-21.2,2.4,0.0,15.6,1.6,VONCDV,DK,DNK,,,,2606.0,,,,,,,,,,,
Denmark,1983,13,0,13320,Social Democratic Party,30,,32.782,0.0,,48.0,148.0,37.5,6.3,0.0,0.0,0.0,0.0,4.2,6.3,0.0,0.0,0.0,2.1,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1,0.0,0.0,0.0,0.0,2.1,0.0,4.2,0.0,10.4,2.1,0.0,0.0,0.0,0.0,2.1,10.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.2,0.0,0.0,2.1,0.0,0.0,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-23.0,12.5,0.0,10.4,4.2,HJW2XP,DK,DNK,,,,2606.0,,,,,,,,,,,
Denmark,1983,13,0,13410,Danish Social-Liberal Party,40,,8.153,0.0,,11.0,148.0,25.0,7.8,3.1,0.0,0.0,1.6,0.0,4.7,0.0,0.0,0.0,4.7,6.3,1.6,0.0,0.0,0.0,3.1,0.0,0.0,1.6,0.0,4.7,0.0,0.0,0.0,1.6,3.1,0.0,0.0,0.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,7.8,4.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,0.0,1.6,6.3,0.0,7.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-15.7,6.3,1.6,12.5,4.7,ZCMMSZ,DK,DNK,,,,2606.0,,,,,,,,,,,
Denmark,1983,13,0,13420,Liberals,40,,23.383,0.0,,38.0,148.0,41.0,1.6,1.6,0.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,6.600000000000001,0.0,0.0,0.0,0.0,0.0,1.6,0.0,0.0,9.8,0.0,9.8,0.0,0.0,0.0,3.3,1.6,0.0,8.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,3.3,0.0,0.0,0.0,0.0,0.0,6.600000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.4,9.8,9.8,1.6,1.6,K2B256,DK,DNK,,,,2606.0,,,,,,,,,,,
Denmark,1983,13,0,13620,Conservative People’s Party,60,,18.236,0.0,,26.0,148.0,78.2,0.0,1.5,0.0,1.5,0.0,0.8,0.8,0.0,0.0,0.0,1.5,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3,0.0,0.8,0.8,0.0,1.5,0.0,1.5,0.8,3.8,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.2,1.6,2.3,0.8,2.3,G7GB47,DK,DNK,,,,2606.0,,,,,,,,,,,
Denmark,1983,13,0,13952,Justice Party,95,,1.877,0.0,,3.0,148.0,52.9,0.0,0.0,0.0,0.0,2.3,1.2,0.0,0.0,0.0,0.0,10.3,3.4,1.2,0.0,0.0,0.0,3.4,0.0,0.0,3.4,0.0,4.600000000000001,0.0,0.0,0.0,3.4,0.0,0.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.0,0.0,0.0,1.2,0.0,1.2,2.3,0.0,3.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.8,4.600000000000001,3.4,3.4,3.5,4A9XMW,DK,DNK,,,,2606.0,,,,,,,,,,,
Denmark,1983,13,0,13953,Danish Union,95,,3.111,0.0,,4.0,148.0,19.118,1.471,8.088000000000001,0.0,2.206,0.0,0.0,1.471,0.0,0.0,0.0,0.735,1.471,0.735,0.0,0.735,0.0,0.0,0.0,0.735,0.0,0.0,4.412,0.0,0.0,0.735,0.0,8.824,1.471,8.824,3.676,2.941,0.0,3.676,0.0,0.0,0.0,0.0,2.206,10.294,0.735,1.471,0.0,0.0,0.0,0.0,0.0,1.471,0.0,0.0,0.0,1.471,0.0,2.206,1.471,0.0,7.353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-13.971,7.353,3.676,12.5,8.088000000000001,1QS6AT,DK,DNK,,,,2606.0,,,,,,,,,,,
Denmark,1983,13,0,13220,Danish Communist Party,20,,6.77,0.0,,9.0,148.0,26.3,0.0,1.8,0.0,1.8,0.0,1.8,1.8,0.0,0.0,0.0,1.8,7.0,0.0,0.0,0.0,0.0,1.8,0.0,0.0,0.0,0.0,5.3,3.5,0.0,0.0,0.0,1.8,0.0,5.3,0.0,1.8,1.8,0.0,0.0,0.0,0.0,0.0,12.3,1.8,0.0,0.0,0.0,1.8,0.0,0.0,0.0,1.8,7.0,0.0,0.0,0.0,0.0,3.5,1.8,1.8,5.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-10.6,10.6,0.0,14.1,3.6,FL24N7,DK,DNK,,,,2606.0,,,,,,,,,,,
Denmark,1983,13,0,13320,Social Democratic Party,30,,40.021,0.0,,57.0,148.0,44.6,7.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.0,0.0,0.0,0.7000000000000001,0.0,6.5,0.0,2.2,0.0,0.0,0.0,0.0,0.0,0.0,6.5,6.5,0.0,0.7000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,2.2,0.0,0.0,2.2,0.0,2.2,2.2,1.4,10.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-10.8,3.6,0.7000000000000001,13.0,0.0,94G96R,DK,DNK,,,,2606.0,,,,,,,,,,,
Denmark,1983,13,0,13410,Danish Social-Liberal Party,40,,6.919,0.0,,10.0,148.0,20.5,2.6,0.0,0.0,0.0,2.6,1.3,3.8,0.0,0.0,0.0,1.3,1.3,0.0,0.0,1.3,0.0,1.3,0.0,0.0,3.8,0.0,6.4,2.6,0.0,0.0,0.0,1.3,0.0,7.7,0.0,1.3,0.0,2.6,0.0,0.0,0.0,0.0,7.7,5.100000000000001,0.0,0.0,0.0,1.3,0.0,1.3,0.0,2.6,10.3,0.0,0.0,1.3,0.0,1.3,1.3,1.3,5.100000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.5,10.3,6.4,12.8,3.9,H3XZ3L,DK,DNK,,,,2606.0,,,,,,,,,,,
Denmark,1983,13,0,13420,Liberals,40,,27.584,0.0,,49.0,148.0,81.3,2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,1.6,0.0,0.0,0.0,0.0,0.0,2.4,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,1.6,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.7,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.3,2.4,0.8,2.4,0.0,LBXW4F,DK,DNK,,,,2606.0,,,,,,,,,,,
Denmark,1983,13,0,13620,Conservative People’s Party,60,,12.443,0.0,,17.0,148.0,34.6,3.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8,0.0,0.0,0.0,7.7,0.0,23.1,0.0,0.0,0.0,15.4,0.0,0.0,0.0,0.0,3.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.3,3.8,15.4,3.8,0.0,CVGZZ2,DK,DNK,,,,2606.0,,,,,,,,,,,
