"country","iso2c","iso3c","year","SL.UEM.TOTL.ZS","SI.POV.GINI","NY.GDP.MKTP.KD.ZG","SM.POP.NETM"
"Denmark","DK","DNK",1960,NA,NA,NA,-726
"Denmark","DK","DNK",1961,NA,NA,6.37883247557384,-400
"Denmark","DK","DNK",1962,NA,NA,5.66682217271807,152
"Denmark","DK","DNK",1963,NA,NA,0.637021234202351,545
"Denmark","DK","DNK",1964,NA,NA,9.26993821451794,1060
"Denmark","DK","DNK",1965,NA,NA,4.55525481407106,1584
"Denmark","DK","DNK",1966,NA,NA,2.74091010903237,2089
"Denmark","DK","DNK",1967,NA,NA,5.5303700075201,2561
"Denmark","DK","DNK",1968,NA,NA,5.55307657638726,2961
"Denmark","DK","DNK",1969,NA,NA,6.50924838489951,3337
"Denmark","DK","DNK",1970,NA,NA,1.59684180463518,3763
"Denmark","DK","DNK",1971,NA,NA,3.00499557421739,4087
"Denmark","DK","DNK",1972,NA,NA,3.92938534116061,4349
"Denmark","DK","DNK",1973,NA,NA,4.09294609206725,4568
"Denmark","DK","DNK",1974,NA,NA,-1.12239425036076,4635
"Denmark","DK","DNK",1975,NA,NA,-1.45664493601456,4643
"Denmark","DK","DNK",1976,NA,NA,5.92460618689674,4527
"Denmark","DK","DNK",1977,NA,NA,1.87029103033571,4254
"Denmark","DK","DNK",1978,NA,NA,2.22630854042809,3905
"Denmark","DK","DNK",1979,NA,NA,3.86911148264211,3449
"Denmark","DK","DNK",1980,NA,NA,-0.482986336653326,2904
"Denmark","DK","DNK",1981,NA,NA,-0.666124155581699,2575
"Denmark","DK","DNK",1982,NA,NA,3.68457296763364,2456
"Denmark","DK","DNK",1983,NA,NA,2.59607191923766,2606
"Denmark","DK","DNK",1984,NA,NA,4.16613792284444,2926
"Denmark","DK","DNK",1985,NA,NA,4.00375181515933,3498
"Denmark","DK","DNK",1986,NA,NA,4.90417835499042,4227
"Denmark","DK","DNK",1987,NA,26.2,0.254266314633725,5265
"Denmark","DK","DNK",1988,NA,NA,-0.0136012052800965,6443
"Denmark","DK","DNK",1989,NA,NA,0.645187431976638,7849
"Denmark","DK","DNK",1990,NA,NA,1.4752442765041,9449
"Denmark","DK","DNK",1991,9.1,NA,1.39363399746793,10812
"Denmark","DK","DNK",1992,9.03,24.7,1.95700671183856,11990
"Denmark","DK","DNK",1993,10.72,NA,0.0106876308268369,13011
"Denmark","DK","DNK",1994,8.04,NA,5.33246271155308,13723
"Denmark","DK","DNK",1995,6.99,23,3.0275872672533,14157
"Denmark","DK","DNK",1996,6.84,NA,2.90009976874006,14394
"Denmark","DK","DNK",1997,5.4,NA,3.26089015774798,14313
"Denmark","DK","DNK",1998,5.04,NA,2.21815874223761,13972
"Denmark","DK","DNK",1999,5.14,NA,2.94802216063901,13391
"Denmark","DK","DNK",2000,4.48,23.8,3.74686259540198,12536
"Denmark","DK","DNK",2001,4.16,NA,0.823152998014436,11934
"Denmark","DK","DNK",2002,4.27,NA,0.46634557149423,11518
"Denmark","DK","DNK",2003,5.4,25.6,0.390058556485101,11337
"Denmark","DK","DNK",2004,5.2,24.9,2.66821926741747,11366
"Denmark","DK","DNK",2005,4.83,25.2,2.33664130821947,11693
"Denmark","DK","DNK",2006,3.9,25.9,3.9130079783106,12217
"Denmark","DK","DNK",2007,3.8,26.2,0.909238928302372,13067
"Denmark","DK","DNK",2008,3.68,25.2,-0.512016744849106,14111
"Denmark","DK","DNK",2009,6.41,26.7,-4.90654772965155,15469
"Denmark","DK","DNK",2010,7.75,27.2,1.87099114718497,17037
"Denmark","DK","DNK",2011,7.77,27.3,1.33677776690328,18519
"Denmark","DK","DNK",2012,7.8,27.8,0.226499791802965,19732
"Denmark","DK","DNK",2013,7.38,28.5,0.933340972371226,20779
"Denmark","DK","DNK",2014,6.93,28.4,1.61939381103033,21670
"Denmark","DK","DNK",2015,6.28,28.2,2.34259110757047,22368
"Denmark","DK","DNK",2016,5.99,28.2,3.24595698524399,22859
"Denmark","DK","DNK",2017,5.83,28.7,2.82173634129026,23188
"Denmark","DK","DNK",2018,5.13,28.2,1.98953731496432,23337
"Denmark","DK","DNK",2019,5.02,27.7,1.49348695853648,23305
"Denmark","DK","DNK",2020,5.64,27.5,-2.42451267861938,23076
"Denmark","DK","DNK",2021,5.06,NA,6.8445219018344,22746
"Denmark","DK","DNK",2022,4.172,NA,2.73117445421431,NA
"France","FR","FRA",1960,NA,NA,NA,160864
"France","FR","FRA",1961,NA,NA,4.9801118491384,177923
"France","FR","FRA",1962,NA,NA,6.84346998523586,189952
"France","FR","FRA",1963,NA,NA,6.23367995209179,198822
"France","FR","FRA",1964,NA,NA,6.65209950760072,203089
"France","FR","FRA",1965,NA,NA,4.86150769580638,202497
"France","FR","FRA",1966,NA,NA,5.25183704566086,197365
"France","FR","FRA",1967,NA,NA,4.92114891528463,188179
"France","FR","FRA",1968,NA,NA,4.49130888579006,175643
"France","FR","FRA",1969,NA,NA,7.10947534485236,157646
"France","FR","FRA",1970,NA,37.1,6.10867981285152,135988
"France","FR","FRA",1971,NA,NA,5.31683907643887,115636
"France","FR","FRA",1972,NA,NA,4.5113688577606,97770
"France","FR","FRA",1973,NA,NA,6.34446154446051,82273
"France","FR","FRA",1974,NA,NA,4.30091914308284,70036
"France","FR","FRA",1975,NA,35.9,-0.959884746223096,60976
"France","FR","FRA",1976,NA,NA,4.35675890276836,54481
"France","FR","FRA",1977,NA,NA,3.46431200428788,50700
"France","FR","FRA",1978,NA,NA,3.97854372235838,48194
"France","FR","FRA",1979,NA,34,3.54998915669242,49639
"France","FR","FRA",1980,NA,NA,1.57874525990584,53403
"France","FR","FRA",1981,NA,NA,1.06901983853727,54535
"France","FR","FRA",1982,NA,NA,2.50539661637579,55023
"France","FR","FRA",1983,NA,NA,1.24086486211559,54930
"France","FR","FRA",1984,NA,33.4,1.51372160344316,53502
"France","FR","FRA",1985,NA,NA,1.62278136715794,50391
"France","FR","FRA",1986,NA,NA,2.33727634979969,44525
"France","FR","FRA",1987,NA,NA,2.56190033450119,37864
"France","FR","FRA",1988,NA,NA,4.74314219356484,30843
"France","FR","FRA",1989,NA,NA,4.34386106267613,21768
"France","FR","FRA",1990,NA,32.1,2.92393508123074,11404
"France","FR","FRA",1991,9.13,NA,1.04817584704435,4385
"France","FR","FRA",1992,10.2,NA,1.59934267687127,740
"France","FR","FRA",1993,11.32,NA,-0.628666351905437,235
"France","FR","FRA",1994,12.59,NA,2.35840843921574,4295
"France","FR","FRA",1995,11.83,NA,2.10662915810063,11505
"France","FR","FRA",1996,12.37,32,1.41299367250002,23046
"France","FR","FRA",1997,12.57,31.9,2.33629652937944,37822
"France","FR","FRA",1998,12.07,31.7,3.58865942535427,56608
"France","FR","FRA",1999,11.98,32.5,3.42137379882455,77667
"France","FR","FRA",2000,10.22,32.6,3.92366922704063,102857
"France","FR","FRA",2001,8.61,32.5,1.98372141863292,122247
"France","FR","FRA",2002,8.7,31.8,1.13553148214601,137513
"France","FR","FRA",2003,8.31,31.4,0.823160756684118,148696
"France","FR","FRA",2004,8.91,30.6,2.82975292869891,154947
"France","FR","FRA",2005,8.49,29.8,1.66321998030079,155943
"France","FR","FRA",2006,8.45,29.7,2.44932360111885,151814
"France","FR","FRA",2007,7.66,32.4,2.42473624337305,142170
"France","FR","FRA",2008,7.06,33,0.254945960124005,128627
"France","FR","FRA",2009,8.74,32.7,-2.87331382849631,108940
"France","FR","FRA",2010,8.87,33.7,1.94943762312663,86355
"France","FR","FRA",2011,8.81,33.3,2.19270063266654,65188
"France","FR","FRA",2012,9.4,33.1,0.313134751077172,49080
"France","FR","FRA",2013,9.92,32.5,0.576326674771792,36552
"France","FR","FRA",2014,10.29,32.3,0.956183052371557,26585
"France","FR","FRA",2015,10.35,32.7,1.1129123405747,18807
"France","FR","FRA",2016,10.05,31.9,1.09546440372048,14729
"France","FR","FRA",2017,9.41,31.6,2.29141999417021,13175
"France","FR","FRA",2018,9.02,32.4,1.86506607081999,14391
"France","FR","FRA",2019,8.41,31.2,1.84297181445896,17403
"France","FR","FRA",2020,8.01,30.7,-7.54045916249406,18335
"France","FR","FRA",2021,7.86,NA,6.43520962104938,20614
"France","FR","FRA",2022,7.445,NA,2.45475817660707,NA
"Germany","DE","DEU",1960,NA,NA,NA,100380
"Germany","DE","DEU",1961,NA,NA,NA,121350
"Germany","DE","DEU",1962,NA,NA,NA,137698
"Germany","DE","DEU",1963,NA,NA,NA,152170
"Germany","DE","DEU",1964,NA,NA,NA,162533
"Germany","DE","DEU",1965,NA,NA,NA,170903
"Germany","DE","DEU",1966,NA,NA,NA,176562
"Germany","DE","DEU",1967,NA,NA,NA,178457
"Germany","DE","DEU",1968,NA,NA,NA,178954
"Germany","DE","DEU",1969,NA,NA,NA,175007
"Germany","DE","DEU",1970,NA,NA,NA,168468
"Germany","DE","DEU",1971,NA,NA,3.13269973811248,157046
"Germany","DE","DEU",1972,NA,NA,4.30034133420232,141396
"Germany","DE","DEU",1973,NA,NA,4.77748689217385,121476
"Germany","DE","DEU",1974,NA,NA,0.890068740587211,95670
"Germany","DE","DEU",1975,NA,NA,-0.866738894227723,63902
"Germany","DE","DEU",1976,NA,NA,4.94925837665457,25585
"Germany","DE","DEU",1977,NA,NA,3.34721812001672,-919
"Germany","DE","DEU",1978,NA,NA,3.00849285673846,-15269
"Germany","DE","DEU",1979,NA,NA,4.15036334066737,-18647
"Germany","DE","DEU",1980,NA,NA,1.40882863572145,-9445
"Germany","DE","DEU",1981,NA,NA,0.529240556536067,10722
"Germany","DE","DEU",1982,NA,NA,-0.394840774795966,42143
"Germany","DE","DEU",1983,NA,NA,1.57241016952116,85198
"Germany","DE","DEU",1984,NA,NA,2.82294780997955,142722
